credit_history,credit_amount,employment,property_magnitude,age,class
'existing paid',?,<1,'real estate',21,good
'critical/other existing credit',2146,<1,'real estate',23,good
'existing paid',701,1<=X<4,'real estate',40,good
'existing paid',1484,1<=X<4,'real estate',25,bad
'existing paid',1240,>=7,'no known property',48,bad
'delayed previously',6967,4<=X<7,car,36,good
'critical/other existing credit',2745,4<=X<7,car,32,good
'existing paid',1355,<1,car,25,bad
'existing paid',11328,1<=X<4,car,?,bad
'existing paid',3016,1<=X<4,car,24,good
'delayed previously',8613,1<=X<4,car,27,good
'existing paid',6260,4<=X<7,'real estate',28,good
'critical/other existing credit',2319,<1,car,33,bad
'existing paid',1345,1<=X<4,'real estate',26,bad
'existing paid',3422,>=7,'life insurance',47,good
'existing paid',7865,>=7,'no known property',?,bad
'critical/other existing credit',3617,>=7,'no known property',20,good
'all paid',3447,1<=X<4,'real estate',35,good
'critical/other existing credit',3656,>=7,'life insurance',49,good
'all paid',783,1<=X<4,'real estate',26,good
'existing paid',2445,<1,car,26,good
'existing paid',4006,1<=X<4,car,45,bad
'existing paid',14318,>=7,'no known property',57,bad
'existing paid',4591,1<=X<4,'life insurance',54,bad
'existing paid',1755,>=7,'real estate',58,good
'no credits/all paid',6289,<1,'life insurance',33,good
'existing paid',2384,>=7,'real estate',64,good
'existing paid',5951,1<=X<4,'real estate',22,bad
'existing paid',2569,1<=X<4,car,?,good
'existing paid',3949,<1,'life insurance',37,good
'existing paid',1275,1<=X<4,car,24,bad
'all paid',3609,1<=X<4,'real estate',27,good
'critical/other existing credit',4042,4<=X<7,'life insurance',?,good
'critical/other existing credit',5954,4<=X<7,'real estate',41,good
'critical/other existing credit',3384,1<=X<4,'real estate',44,bad
'critical/other existing credit',996,4<=X<7,'real estate',23,good
'existing paid',1386,1<=X<4,'real estate',40,good
'existing paid',625,<1,'real estate',26,good
'existing paid',1980,<1,car,19,bad
'existing paid',601,<1,'real estate',23,good
'critical/other existing credit',1047,1<=X<4,'life insurance',50,good
'existing paid',1943,<1,'real estate',23,bad
'existing paid',1620,1<=X<4,'life insurance',30,good
'critical/other existing credit',11938,1<=X<4,car,39,bad
'critical/other existing credit',6143,>=7,'no known property',58,bad
'existing paid',3972,4<=X<7,'life insurance',25,good
'critical/other existing credit',2825,4<=X<7,'no known property',34,good
'critical/other existing credit',1995,<1,car,27,good
'critical/other existing credit',6742,4<=X<7,'life insurance',36,good
'existing paid',1842,<1,car,34,bad
'existing paid',8978,>=7,'life insurance',45,bad
'delayed previously',6887,1<=X<4,'life insurance',29,bad
'delayed previously',1512,1<=X<4,'life insurance',61,bad
'critical/other existing credit',666,4<=X<7,'real estate',39,good
'existing paid',1239,1<=X<4,'no known property',61,good
'delayed previously',846,>=7,'no known property',36,good
'existing paid',2171,<1,car,29,good
'existing paid',3349,1<=X<4,car,28,bad
'critical/other existing credit',1402,4<=X<7,car,37,good
'critical/other existing credit',5045,>=7,car,59,good
'existing paid',1203,>=7,'life insurance',43,good
'critical/other existing credit',6419,>=7,'no known property',44,good
'delayed previously',1808,4<=X<7,'real estate',22,bad
'existing paid',3049,<1,'life insurance',45,good
'delayed previously',4151,1<=X<4,'life insurance',35,good
'existing paid',8335,>=7,'no known property',47,bad
'critical/other existing credit',5371,1<=X<4,'life insurance',28,good
'critical/other existing credit',958,4<=X<7,'real estate',47,good
'existing paid',1498,1<=X<4,car,23,good
'no credits/all paid',1410,1<=X<4,'real estate',?,good
'existing paid',2150,1<=X<4,'no known property',24,bad
'delayed previously',2503,>=7,'life insurance',41,good
'critical/other existing credit',3124,<1,'real estate',49,good
'delayed previously',1743,1<=X<4,'real estate',34,good
'critical/other existing credit',7228,1<=X<4,'life insurance',39,good
'existing paid',1217,1<=X<4,'real estate',47,bad
'existing paid',1747,<1,'life insurance',24,good
'existing paid',3915,1<=X<4,car,36,bad
'no credits/all paid',3804,1<=X<4,car,42,bad
'existing paid',1941,1<=X<4,'life insurance',35,good
'critical/other existing credit',1098,unemployed,car,65,good
'existing paid',3749,<1,car,26,good
'existing paid',343,<1,'real estate',27,good
'existing paid',15857,unemployed,car,43,good
'existing paid',9271,4<=X<7,car,24,bad
'critical/other existing credit',618,>=7,'real estate',56,good
'critical/other existing credit',3652,4<=X<7,'life insurance',27,good
'delayed previously',1449,>=7,car,31,good
'existing paid',?,1<=X<4,'real estate',20,good
'no credits/all paid',3114,<1,'life insurance',26,bad
'all paid',9283,unemployed,'no known property',55,good
'existing paid',2333,>=7,car,30,good
'critical/other existing credit',5711,>=7,car,38,good
'existing paid',3031,1<=X<4,'life insurance',21,bad
'existing paid',1603,>=7,car,55,good
'existing paid',727,>=7,'no known property',46,good
'existing paid',766,1<=X<4,'real estate',66,bad
'critical/other existing credit',730,>=7,'life insurance',46,good
'critical/other existing credit',2360,1<=X<4,car,36,good
'delayed previously',1478,1<=X<4,'real estate',33,good
'existing paid',2302,1<=X<4,car,31,bad
'existing paid',2101,<1,'life insurance',23,good
'existing paid',3001,4<=X<7,'real estate',40,good
'existing paid',4113,<1,car,28,bad
'existing paid',1206,>=7,'real estate',25,good
'critical/other existing credit',6614,>=7,car,34,good
'existing paid',2390,>=7,?,50,good
'critical/other existing credit',4933,4<=X<7,'real estate',25,bad
'all paid',1553,1<=X<4,car,44,bad
'existing paid',1228,1<=X<4,'real estate',24,bad
'critical/other existing credit',1817,1<=X<4,'no known property',28,good
'existing paid',1318,>=7,'real estate',54,good
'delayed previously',5117,4<=X<7,car,26,good
'critical/other existing credit',5096,1<=X<4,car,30,bad
'critical/other existing credit',6304,>=7,'real estate',36,good
'existing paid',1882,1<=X<4,car,25,bad
'existing paid',2118,1<=X<4,'real estate',37,good
'existing paid',3357,<1,car,29,good
'existing paid',1549,<1,'real estate',35,good
'critical/other existing credit',14179,4<=X<7,'life insurance',30,good
'existing paid',894,4<=X<7,'life insurance',40,good
'existing paid',3378,1<=X<4,'life insurance',31,good
'critical/other existing credit',8858,4<=X<7,'no known property',35,good
'delayed previously',2862,>=7,'no known property',30,good
'existing paid',1364,1<=X<4,car,64,good
'existing paid',1413,1<=X<4,'life insurance',28,good
'critical/other existing credit',2171,1<=X<4,'life insurance',38,good
'all paid',1048,1<=X<4,'real estate',23,good
'no credits/all paid',6148,>=7,car,31,good
'existing paid',2394,1<=X<4,car,25,good
?,1880,4<=X<7,'life insurance',32,good
'existing paid',1155,>=7,'real estate',40,good
'existing paid',2910,4<=X<7,'no known property',34,good
'critical/other existing credit',4843,>=7,'life insurance',43,bad
'delayed previously',1591,4<=X<7,'real estate',34,good
'critical/other existing credit',2246,>=7,'life insurance',60,bad
'existing paid',7174,4<=X<7,car,30,bad
'existing paid',3051,1<=X<4,car,54,bad
'critical/other existing credit',1028,1<=X<4,'real estate',36,good
'critical/other existing credit',1240,>=7,'real estate',38,good
'existing paid',3651,1<=X<4,'life insurance',31,good
'critical/other existing credit',1271,1<=X<4,'no known property',39,bad
'critical/other existing credit',1940,>=7,'real estate',60,good
'existing paid',2303,>=7,'real estate',45,bad
'existing paid',6527,1<=X<4,'no known property',34,good
'existing paid',1262,4<=X<7,'life insurance',36,good
'existing paid',1188,>=7,'life insurance',39,bad
'critical/other existing credit',1169,1<=X<4,'life insurance',29,good
'critical/other existing credit',2346,4<=X<7,car,35,good
'delayed previously',9857,4<=X<7,'life insurance',31,good
'existing paid',1287,>=7,'life insurance',45,good
'critical/other existing credit',3368,>=7,'no known property',23,good
'no credits/all paid',1953,>=7,'no known property',61,bad
'existing paid',2511,unemployed,car,23,good
?,1493,<1,car,34,good
?,276,1<=X<4,'real estate',22,good
?,1333,unemployed,'real estate',43,bad
'existing paid',3595,>=7,car,28,good
'critical/other existing credit',2331,>=7,'real estate',49,good
'delayed previously',7418,1<=X<4,'real estate',27,good
'existing paid',2415,1<=X<4,'real estate',34,good
'existing paid',2662,4<=X<7,'life insurance',32,good
'existing paid',5493,>=7,'no known property',42,good
'delayed previously',1919,<1,'no known property',30,bad
'critical/other existing credit',1797,<1,'life insurance',28,good
'all paid',1940,<1,'no known property',36,good
'critical/other existing credit',691,>=7,'life insurance',35,bad
'delayed previously',7057,4<=X<7,'life insurance',36,good
'all paid',1647,1<=X<4,'life insurance',40,bad
'critical/other existing credit',3343,1<=X<4,'no known property',28,good
'existing paid',3234,<1,'real estate',23,bad
'existing paid',1525,4<=X<7,car,34,good
'delayed previously',8947,4<=X<7,car,31,good
'critical/other existing credit',5150,>=7,?,33,good
'existing paid',4020,1<=X<4,car,27,good
'existing paid',1950,4<=X<7,car,34,good
'existing paid',1835,1<=X<4,'real estate',25,bad
'no credits/all paid',1204,1<=X<4,'no known property',35,good
'critical/other existing credit',4526,1<=X<4,'real estate',74,good
'existing paid',1680,>=7,'real estate',35,good
'existing paid',2384,<1,'no known property',33,bad
'existing paid',7472,unemployed,'real estate',24,good
'existing paid',750,unemployed,'real estate',27,bad
'critical/other existing credit',1554,4<=X<7,car,24,good
'existing paid',1715,1<=X<4,car,26,good
'existing paid',1542,4<=X<7,car,36,good
