name,genre,platform,year_of_release,na_sales,eu_sales,global_sales,user_score
vanguard_bandits,strategy,ps,1998,0.04,0.03,0.07,7.4
clock_tower_ii:the_struggle_within,adventure,ps,1998,0.02,0.01,0.17,5.7
shenmue,adventure,dc,1999,0.52,0.24,1.18,9.4
harvest_moon:back_to_nature,simulation,ps,1999,0.11,0.07,0.32,9.3
silent_hill,action,ps,1999,0.71,0.48,1.6,9.2
tony_hawks_pro_skater,sports,ps,1999,3.42,1.38,5.02,9.2
age_of_empires_ii:the_age_of_kings,strategy,pc,1999,0.01,0.08,not_available,9
jagged_alliance_2,strategy,pc,1999,0,0.01,0.01,9
crash_team_racing,racing,ps,1999,2.57,1.57,4.79,9
digimon_digital_card_battle,strategy,ps,1999,0.06,0.04,0.11,9
gran_turismo_2,racing,ps,1999,3.88,3.42,9.49,9
legacy_of_kain:soul_reaver,action,ps,1999,0.58,0.4,1.04,9
lunar_2:eternal_blue_complete,role_playing,ps,1999,0.19,0.13,0.35,9
parasite_eve_ii,role_playing,ps,1999,0.32,0.22,0.58,9
soulcalibur,fighting,dc,1999,0,0,0.34,8.9
the_longest_journey,adventure,pc,1999,0,0.01,0.02,8.9
bust_a_groove_2,misc,ps,1999,0.04,0.03,0.26,8.9
dungeon_keeper_2,action,pc,1999,0,0.05,0.05,8.8
ape_escape,platform,ps,1999,0.71,0.48,1.63,8.8
valkyrie_profile,role_playing,ps,1999,0.07,0.05,0.81,8.8
syphon_filter,shooter,ps,1999,2.03,0.72,2.88,8.7
final_fantasy_viii,role_playing,ps,1999,2.28,1.72,7.86,8.6
need_for_speed:high_stakes,racing,ps,1999,1.58,0.64,2.31,8.5
need_for_speed:porsche_unleashed,racing,ps,1999,0.43,0.29,0.77,8.5
wipeout_3,racing,ps,1999,0.19,0.13,0.34,8.5
seaman,simulation,dc,1999,0,0,0.52,8.4
the_legend_of_dragoon,role_playing,ps,1999,0.94,0.44,1.86,8.4
aliens_versus_predator,shooter,pc,1999,0,0.01,0.01,8.3
dragon_valor,role_playing,ps,1999,0.04,0.03,0.07,8.3
chrono_cross,role_playing,ps,1999,0.62,0.42,1.86,8.1
final_fantasy_anthology,role_playing,ps,1999,0.45,0.3,0.8,8.1
driver,action,ps,1999,3.11,2.8,6.27,8
frogger_2:swampys_revenge,action,ps,1999,0.8,0.54,1.43,7.9
incredible_crisis,action,ps,1999,0.04,0.03,0.08,7.5
saiyuki:journey_west,strategy,ps,1999,0.03,0.02,0.05,7.1
lemmings_revolution,puzzle,pc,1999,0,0.01,0.01,6.8
grandia,role_playing,ps,1999,0.14,0.09,0.25,6.6
ecw_anarchy_rulz,fighting,ps,1999,0.06,0.04,0.11,6.3
skies_of_arcadia,role_playing,dc,2000,0,0,0.09,9.4
tenchu_2:birth_of_the_stealth_assassins,action,ps,2000,0.32,0.22,0.58,8.7
ring_of_red,strategy,ps2,2000,0.06,0.04,0.11,8.7
romance_of_the_three_kingdoms_vii,strategy,ps2,2000,0.08,0.06,0.32,8.7
knockout_kings_2001,fighting,ps,2000,0.23,0.15,0.41,8.5
tekken_tag_tournament,fighting,ps2,2000,1.68,1.51,4.05,8.5
nfl_fever_2002,sports,x,2000,0.74,0.21,0.99,8.5
dave_mirra_freestyle_bmx,sports,ps,2000,0.91,0.11,1.05,8.4
persona_2:eternal_punishment,role_playing,ps,2000,0.03,0.02,0.35,8.4
point_blank_3,shooter,ps,2000,0.01,0.01,0.02,8.4
vagrant_story,role_playing,ps,2000,0.3,0.2,0.87,8.4
armored_core_2,simulation,ps2,2000,0.28,0.22,0.79,8.4
kengo:master_of_bushido,fighting,ps2,2000,0.16,0.13,0.39,8.4
kessen,strategy,ps2,2000,0.27,0.21,0.95,8.4
sky_odyssey,simulation,ps2,2000,0.16,0.12,0.32,8.4
crash_bash,misc,ps,2000,1.56,1.47,3.39,8.3
dance_dance_revolution_disney_mix,simulation,ps,2000,0.02,0.02,0.04,8.3
disney's_aladdin_in_nasiras_revenge,action,ps,2000,0.05,0.04,0.09,8.3
dark_cloud,role_playing,ps2,2000,0.83,0.44,1.54,8.3
ssx,sports,ps2,2000,0.78,0.61,1.66,8.3
rayman_2:revolution,platform,ps2,2000,0.15,0.11,0.3,8.2
strider_2,platform,ps,2000,0.05,0.03,0.08,8.1
mobile_suit_gundam:journey_to_jaburo,simulation,ps2,2000,0.16,0.13,0.7,8.1
nhl_2001,sports,ps2,2000,0.47,0.37,0.96,8.1
age_of_empires:collectors_edition,strategy,pc,2000,0.02,0.1,0.14,8
airline_tycoon,simulation,pc,2000,0,0.01,0.02,8
galaga:destination_earth,shooter,ps,2000,0.13,0.09,0.24,8
nba_live_2001,sports,ps,2000,0.7,0.47,1.25,8
the_bouncer,action,ps2,2000,0.3,0.23,0.99,8
timesplitters,shooter,ps2,2000,0.21,0.17,0.43,8
victorious_boxers:ippos_road_to_glory,fighting,ps2,2000,0.05,0.04,0.47,8
the_sims,simulation,pc,2000,0.01,0.03,0.05,7.9
espn_winter_x_games:snowboarding_2002,sports,ps2,2000,0.1,0.08,0.21,7.9
street_fighter_ex3,fighting,ps2,2000,0.32,0.25,0.85,7.9
theme_park_roller_coaster,strategy,ps2,2000,0.23,0.18,0.48,7.9
the_typing_of_the_dead,shooter,dc,2000,0,0,0.05,7.8
fifa_2001_major_league_soccer,sports,ps,2000,0.18,0.12,0.32,7.8
evergrace,role_playing,ps2,2000,0.1,0.08,0.35,7.8
midnight_club:street_racing,racing,ps2,2000,2,0.47,2.63,7.8
summoner,role_playing,ps2,2000,0.25,0.2,0.51,7.8
sega_gt,racing,dc,2000,0,0,0.13,7.7
driver_2,action,ps,2000,2.36,2.1,4.73,7.7
nhl_2001,sports,ps,2000,0.35,0.24,0.63,7.7
tony_hawks_pro_skater_2,sports,ps,2000,3.05,1.41,4.68,7.7
madden_nfl_2001,sports,ps2,2000,1.19,0.07,1.5,7.7
ridge_racer_v,action,ps2,2000,0.24,0.19,1.24,7.7
winback:covert_operations,shooter,ps2,2000,0.14,0.11,0.29,7.7
digimon_world_2,role_playing,ps,2000,0.23,0.16,0.58,7.6
rc_revenge_pro,racing,ps2,2000,0.08,0.06,0.17,7.6
alien_resurrection,shooter,ps,2000,0.09,0.06,0.16,7.5
silpheed:the_lost_planet,shooter,ps2,2000,0.03,0.03,0.07,7.5
ultimate_fighting_championship,fighting,ps,2000,0.14,0.09,0.25,7.4
gadget_racers,racing,ps2,2000,0.04,0.03,0.08,7.4
army_men:sarges_heroes_2,shooter,ps,2000,0.14,0.09,0.24,7.3
destruction_derby_raw,racing,ps,2000,0.08,0.05,0.14,7.3
disney's_donald_duck:goin_quackers,platform,ps2,2000,0.04,0.03,0.08,7.3
disney's_the_emperors_new_groove,platform,ps,2000,0.17,0.12,0.31,7.2
disney's_donald_duck:goin_quackers,platform,ps,2000,0.08,0.06,0.15,7
resident_evil:survivor,action,ps,2000,0.23,0.15,0.71,7
disney's_the_lion_king:simbas_mighty_adventure,action,ps,2000,0.08,0.06,0.15,6.9
duke_nukem:land_of_the_babes,shooter,ps,2000,0.04,0.03,0.08,6.8
madden_nfl_2001,sports,ps,2000,1.58,0.05,1.67,6.8
smugglers_run,racing,ps2,2000,0.77,0.6,1.56,6.8
unreal_tournament,shooter,ps2,2000,0.28,0.22,0.58,6.8
007:the_world_is_not_enough,action,ps,2000,0.51,0.35,0.92,6.7
the_sims:livin_large,misc,pc,2000,1.67,1.18,2.99,6.6
nascar_2001,racing,ps2,2000,0.34,0.27,0.7,6.6
star_wars:demolition,racing,ps,2000,0.25,0.17,0.46,6.5
ephemeral_fantasia,role_playing,ps2,2000,0.04,0.03,0.08,6.3
fantavision,puzzle,ps2,2000,0.14,0.11,0.47,6.3
chicken_run,adventure,ps,2000,0.07,0.05,0.13,6.2
nascar_2001,racing,ps,2000,0.45,0.31,0.81,6.1
stronghold,strategy,pc,2001,0,0.09,0.11,8.9
fear_effect_2:retro_helix,action,ps,2001,0.1,0.07,0.18,8.9
fatal_frame,action,ps2,2001,0.07,0.06,0.14,8.9
hot_shots_golf_3,sports,ps2,2001,0.99,0.32,2.89,8.9
ssx_tricky,sports,ps2,2001,0.85,0.66,1.73,8.9
breath_of_fire,role_playing,gba,2001,0.11,0.04,0.22,8.8
digimon_rumble_arena,fighting,ps,2001,0.01,0.01,0.02,8.8
looney_tunes:sheep_raider,platform,ps,2001,0.07,0.05,0.12,8.8
metal_slug_x,shooter,ps,2001,0.05,0.03,0.09,8.8
nba_live_2002,sports,ps,2001,0.29,0.19,0.52,8.8
nfl_gameday_2002,sports,ps,2001,0.23,0.15,0.4,8.8
armored_core_2:another_age,simulation,ps2,2001,0.11,0.08,0.41,8.8
harvest_moon:save_the_homeland,simulation,ps2,2001,0.19,0.15,0.4,8.8
ico,action,ps2,2001,0.23,0.18,0.47,8.8
mobile_suit_gundam:federation_vs._zeon,simulation,ps2,2001,0.12,0.1,1.14,8.8
mobile_suit_gundam:zeonic_front,simulation,ps2,2001,0.09,0.07,0.43,8.8
shadow_hearts,role_playing,ps2,2001,0.09,0.07,0.28,8.8
nhl_2002,sports,x,2001,0.2,0.06,0.27,8.8
tony_hawks_pro_skater_2x,sports,x,2001,0.41,0.19,0.63,8.8
spider_man:mysterios_menace,action,gba,2001,0.43,0.16,0.61,8.7
nhl_hitz_20_02,sports,gc,2001,0.16,0.04,0.21,8.7
pikmin,strategy,gc,2001,0.78,0.25,1.63,8.7
il_2_sturmovik,simulation,pc,2001,0,0.01,0.01,8.7
hoshigami:ruining_blue_earth,role_playing,ps,2001,0.03,0.02,0.05,8.7
spider_man_2:enter:electro,action,ps,2001,0.57,0.87,1.55,8.7
toy_story_racer,racing,ps,2001,0.08,0.06,0.15,8.7
final_fantasy_x,role_playing,ps2,2001,2.91,2.07,8.05,8.7
gitaroo_man,misc,ps2,2001,0.02,0.02,0.05,8.7
jak_and_daxter:the_precursor_legacy,platform,ps2,2001,2.08,1.09,3.64,8.7
maximo:ghosts_to_glory,platform,ps2,2001,0.38,0.29,0.77,8.7
metal_gear_solid_2:sons_of_liberty,action,ps2,2001,2.45,2.01,6.05,8.7
ncaa_football_2002,sports,ps2,2001,0.77,0.6,1.57,8.7
shaun_palmers_pro_snowboarder,sports,ps2,2001,0.36,0.28,0.73,8.7
nhl_hitz_20_02,sports,x,2001,0.2,0.06,0.27,8.7
oddworld:munchs_oddysee,platform,x,2001,0.54,0.16,0.73,8.7
sonic_adventure_2,platform,dc,2001,0,0,0.12,8.6
breath_of_fire_ii,role_playing,gba,2001,0.14,0.05,0.19,8.6
luigis_mansion,action,gc,2001,2.38,0.67,3.6,8.6
ssx_tricky,sports,gc,2001,0.42,0.11,0.54,8.6
star_wars_rogue_leader:rogue_squadron_ii,simulation,gc,2001,1.03,0.75,1.9,8.6
cossacks:european_wars,strategy,pc,2001,0,0.02,0.03,8.6
mat_hoffmans_pro_bmx,sports,ps,2001,0.3,0.2,0.54,8.6
bloody_roar_3,fighting,ps2,2001,0.15,0.11,0.35,8.6
half_life,shooter,ps2,2001,0.29,0.23,0.6,8.6
nba_street,sports,ps2,2001,2.19,0.22,2.79,8.6
rayman_arena,racing,ps2,2001,0.29,0.23,0.6,8.6
dead_or_alive_3,fighting,x,2001,1.19,0.29,1.77,8.6
halo:combat_evolved,shooter,x,2001,4.98,1.3,6.43,8.6
castlevania:circle_of_the_moon,platform,gba,2001,0.6,0.22,0.89,8.5
doom,shooter,gba,2001,0.1,0.04,0.14,8.5
disney's_atlantis:the_lost_empire,platform,ps,2001,0.1,0.07,0.17,8.5
syphon_filter_3,shooter,ps,2001,0.29,0.2,0.52,8.5
devil_may_cry,action,ps2,2001,1.36,0.86,2.99,8.5
grand_theft_auto_iii,action,ps2,2001,6.99,4.51,13.1,8.5
kings_field:the_ancient_city,role_playing,ps2,2001,0.05,0.04,0.1,8.5
monster_rancher_3,simulation,ps2,2001,0.11,0.09,0.36,8.5
mtv_music_generator_2,misc,ps2,2001,0.08,0.06,0.15,8.5
nascar_thunder_2002,racing,ps2,2001,0.57,0.44,1.16,8.5
nhl_2002,sports,ps2,2001,0.59,0.46,1.2,8.5
okage:shadow_king,role_playing,ps2,2001,0.14,0.11,0.36,8.5
soul_reaver_2,action,ps2,2001,0.27,0.21,0.55,8.5
twisted_metal:black,racing,ps2,2001,1.19,0.17,1.41,8.5
azurik:rise_of_perathia,action,x,2001,0.18,0.05,0.24,8.5
ssx_tricky,sports,x,2001,0.32,0.09,0.43,8.5
f_zero:maximum_velocity,racing,gba,2001,0.39,0.16,1.04,8.4
rayman_advance,platform,gba,2001,0.36,0.13,0.5,8.4
microsoft_train_simulator,simulation,pc,2001,0,0.04,0.05,8.4
darkstone,role_playing,ps,2001,0.37,0.25,0.66,8.4
x_men:mutant_academy_2,fighting,ps,2001,0.4,0.27,0.72,8.4
atv_offroad_fury,racing,ps2,2001,2.07,0.26,2.41,8.4
gran_turismo_3:a_spec,racing,ps2,2001,6.85,5.09,14.98,8.4
legaia_2:duel_saga,role_playing,ps2,2001,0.13,0.1,0.26,8.4
max_payne,shooter,ps2,2001,1.99,1.05,3.31,8.4
resident_evil___code:veronica_x,action,ps2,2001,1.08,0.7,2.34,8.4
cel_damage,racing,x,2001,0.09,0.03,0.12,8.4
madden_nfl_2002,sports,x,2001,0.53,0.02,0.58,8.1
max_payne,shooter,x,2001,0.98,0.19,1.22,8.1
crazy_taxi_2,racing,dc,2001,0,0,0.07,8
jurassic_park_iii:park_builder,simulation,gba,2001,0.04,0.02,0.06,8
spyro:season_of_ice,platform,gba,2001,1.29,0.83,2.23,8
mxrider,racing,ps2,2001,0.16,0.13,0.34,6.8
soldier_of_fortune:gold_edition,shooter,ps2,2001,0.27,0.21,0.56,6.8
time_crisis:project_titan,shooter,ps,2001,0.03,0.02,0.05,6.7
batman:vengeance,adventure,ps2,2001,0.27,0.21,0.55,6.7
portal_runner,platform,ps2,2001,0.06,0.05,0.13,6.7
the_legend_of_alon_dar,role_playing,ps2,2001,0.04,0.03,0.08,6.7
spec_ops:ranger_elite,shooter,ps,2001,0.49,0.33,0.87,6.6
worlds_scariest_police_chases,racing,ps,2001,0.2,0.14,0.36,6.6
parappa_the_rapper_2,misc,ps2,2001,0.07,0.05,0.14,6.6
ncaa_final_four_2002,sports,ps2,2001,0.15,0.12,0.31,6.5
fifa_soccer_2002,sports,ps,2001,0.08,0.06,0.15,6.4
dragon_rage,shooter,ps2,2001,0.03,0.02,0.06,6.4
star_trek:voyager_elite_force,shooter,ps2,2001,0.07,0.06,0.15,6.4
pac_man_fever,misc,gc,2001,0.21,0.06,0.28,6.3
martian_gothic:unification,adventure,ps,2001,0.06,0.04,0.11,6.3
the_powerpuff_girls:chemical_x_traction,action,ps,2001,0.14,0.1,0.25,6.3
pac_man_fever,misc,ps2,2001,0.25,0.2,0.51,6.3
yanya_caballista:city_skater,sports,ps2,2001,0.02,0.02,0.05,6.3
city_crisis,simulation,ps2,2001,0.06,0.05,0.13,6.2
4x4_evo_2,racing,x,2001,0.18,0.05,0.24,6.2
gt_advance_2:rally_racing,racing,gba,2001,0.08,0.03,0.11,6
formula_one_2001,racing,ps2,2001,0.13,0.1,0.26,6
namco_museum,misc,ps2,2001,1.73,0.07,1.82,6
star_wars:obi_wan,action,x,2001,0.52,0.16,0.7,5.9
batman:vengeance,adventure,gc,2001,0.2,0.05,0.26,5.8
ford_racing,racing,ps,2001,0.48,0.33,0.86,5.8
airblade,sports,ps2,2001,0.11,0.09,0.23,5.8
bass_strike,sports,ps2,2001,0.14,0.11,0.28,5.8
fifa_soccer_2002,sports,ps2,2001,0.31,0.24,0.63,5.8
hidden_invasion,shooter,ps2,2001,0.04,0.03,0.08,5.8
earthworm_jim,platform,gba,2001,0.2,0.08,0.29,5.7
18_wheeler:american_pro_trucker,racing,ps2,2001,0.2,0.15,0.4,5.7
jonny_moseley_mad_trix,sports,ps2,2001,0.07,0.05,0.14,5.7
all_star_baseball_2002,sports,gc,2001,0.17,0.04,0.22,5.6
dark_angel:vampire_apocalypse,role_playing,ps2,2001,0.04,0.03,0.09,5.6
warjetz,shooter,ps2,2001,0.02,0.02,0.04,5.5
f1_2001,racing,x,2001,0.05,0.01,0.06,5.5
shrek,platform,x,2001,0.25,0.1,0.36,5.4
midnight_club:street_racing,racing,gba,2001,0.34,0.13,0.48,5.3
motocross_mania,racing,ps,2001,0.44,0.3,0.79,5.3
arctic_thunder,racing,ps2,2001,0.17,0.14,0.36,5.3
mister_mosquito,shooter,ps2,2001,0.05,0.04,0.28,4.9
star_wars:super_bombad_racing,racing,ps2,2001,0.08,0.06,0.16,4.9
army_men:sarges_heroes_2,shooter,ps2,2001,0.09,0.07,0.17,4.6
frogger:the_great_quest,platform,ps2,2001,0.6,0.47,1.23,4.6
nfl_gameday_2002,sports,ps2,2001,0.19,0.15,0.38,4.6
warriors_of_might_and_magic,adventure,ps2,2001,0.09,0.07,0.17,4.5
wave_rally,racing,ps2,2001,0.13,0.1,0.27,4.5
nhl_faceoff_2001,sports,ps2,2001,0.1,0.07,0.2,4
paris_dakar_rally,racing,ps2,2001,0.08,0.06,0.15,3.9
kiss_pinball,action,ps,2001,0.17,0.12,0.31,3.8
army_men:green_rogue,action,ps2,2001,0.06,0.05,0.13,3.8
casper:spirit_dimensions,platform,ps2,2001,0.07,0.05,0.14,3.5
driven,racing,ps2,2001,0.08,0.06,0.15,3.4
jeremy_mcgrath_supercross_world,racing,ps2,2001,0.11,0.09,0.23,3.4
top_gun:combat_zones,simulation,ps2,2001,0.45,0.35,0.92,3.3
universal_studios_theme_parks_adventure,misc,gc,2001,0.08,0.02,0.1,2.9
kabuki_warriors,action,x,2001,0.05,0.01,0.06,2.5
e.t._the_extra_terrestrial,action,gba,2001,0.01,0,0.01,2.2
golden_sun:the_lost_age,role_playing,gba,2002,0.61,0.27,1.22,9.5
monster_rancher_advance_2,simulation,gba,2002,0.01,0,0.01,9.4
klonoa_2:dream_champ_tournament,platform,gba,2002,0.02,0.01,0.03,9.3
super_robot_taisen:original_generation,role_playing,gba,2002,0.01,0,0.01,9.3
metroid_prime,shooter,gc,2002,1.96,0.67,2.82,9.3
swingerz_golf,sports,gc,2002,0.06,0.02,0.08,9.3
dynasty_warriors_3:xtreme_legends,action,ps2,2002,0.13,0.1,1,9.3
shenmue_ii,adventure,x,2002,0.22,0.08,0.32,9.3
gauntlet:dark_legacy,action,gc,2002,0.14,0.04,0.18,9.2
skies_of_arcadia_legends,role_playing,gc,2002,0.17,0.04,0.22,9.2
transworld_snowboarding,sports,x,2002,0.07,0.02,0.09,9.2
metroid_fusion,action,gba,2002,1.18,0.27,1.68,9.1
the_king_of_fighters_ex2:howling_blood,fighting,gba,2002,0.06,0.02,0.08,9.1
the_legend_of_zelda:a_link_to_the_past,action,gba,2002,1.75,0.52,2.7,9.1
mafia,action,pc,2002,0,0.04,0.04,9.1
warcraft_iii:reign_of_chaos,strategy,pc,2002,0.03,0.09,0.14,9.1
dark_cloud_2,role_playing,ps2,2002,0.38,0.25,0.96,9.1
grand_prix_challenge,racing,ps2,2002,0.04,0.03,0.08,9.1
mat_hoffmans_pro_bmx_2,sports,ps2,2002,0.23,0.18,0.46,9.1
world_of_outlaws:sprint_cars_2002,racing,ps2,2002,0.23,0.18,0.48,9.1
world_soccer_winning_eleven_6_international,sports,ps2,2002,0.12,1.26,2.99,9.1
buffy_the_vampire_slayer,action,x,2002,0.18,0.05,0.23,9.1
mega_man_battle_network_2,action,gba,2002,0.22,0.08,0.31,9
timesplitters_2,shooter,gc,2002,0.34,0.09,0.44,9
whirl_tour,sports,gc,2002,0.04,0.01,0.05,9
inuyasha:a_feudal_fairy_tale,fighting,ps,2002,0,0,0.11,9
armored_core_3,simulation,ps2,2002,0.22,0.17,0.67,9
drakan:the_ancients_gates,adventure,ps2,2002,0.13,0.1,0.26,9
g1_jockey_3,sports,ps2,2002,0.02,0.01,0.1,9
k_1_world_grand_prix,sports,ps2,2002,0.04,0.03,0.18,9
metal_gear_solid_2:substance,action,ps2,2002,0.18,0.14,0.52,9
onimusha_2:samurais_destiny,adventure,ps2,2002,0.62,0.44,2.25,9
redcard_20_03,sports,ps2,2002,0.03,0.03,0.07,9
riding_spirits,racing,ps2,2002,0.13,0.1,0.26,9
road_trip,racing,ps2,2002,0.04,0.03,0.09,9
2002_fifa_world_cup,sports,x,2002,0.14,0.04,0.19,9
blood_omen_2,action,x,2002,0.14,0.04,0.19,9
redcard_20_03,sports,x,2002,0.03,0.01,0.03,9
kirby:nightmare_in_dream_land,platform,gba,2002,1.22,0.1,2.27,8.9
mega_man_zero,platform,gba,2002,0.22,0.08,0.55,8.9
mortal_kombat:deadly_alliance,fighting,gba,2002,0.01,0,0.01,8.9
shrek_swamp_kart_speedway,racing,gba,2002,0.22,0.08,0.3,8.9
capcom_vs._snk_2_eo,fighting,gc,2002,0.09,0.02,0.11,8.9
disney's_magical_mirror_starring_mickey_mouse,adventure,gc,2002,0.15,0.04,0.19,8.9
the_legend_of_zelda:the_wind_waker,action,gc,2002,2.6,0.99,4.6,8.9
age_of_mythology,strategy,pc,2002,0.02,0.06,0.09,8.9
.hack//mutation_part_2,role_playing,ps2,2002,0.23,0.18,0.68,8.9
atv_offroad_fury_2,racing,ps2,2002,1.92,0.2,2.18,8.9
culdcept,strategy,ps2,2002,0.01,0.01,0.03,8.9
dead_to_rights,shooter,ps2,2002,0.67,0.52,1.36,8.9
deus_ex:the_conspiracy,action,ps2,2002,0.1,0.08,0.21,8.9
nfl_blitz_20_02,sports,ps2,2002,0.14,0.11,0.28,8.9
romance_of_the_three_kingdoms_viii,strategy,ps2,2002,0.05,0.04,0.3,8.9
tiger_woods_pga_tour_2003,sports,ps2,2002,0.8,0.63,1.64,8.9
dead_to_rights,shooter,x,2002,0.53,0.17,0.72,8.9
dynasty_warriors_3,action,x,2002,0.06,0.02,0.08,8.9
gauntlet:dark_legacy,action,x,2002,0.13,0.04,0.17,8.9
hunter:the_reckoning,action,x,2002,0.28,0.08,0.38,8.9
disney's_kim_possible:revenge_of_monkey_fist,platform,gba,2002,0.37,0.14,0.51,8.8
hamtaro:ham_ham_heartbreak,action,gba,2002,0.26,0.1,0.36,8.8
super_ghouls_n_ghosts,platform,gba,2002,0.05,0.02,0.07,8.8
tomb_raider:the_prophecy,action,gba,2002,0.1,0.04,0.14,8.8
tony_hawks_pro_skater_4,sports,gba,2002,0.41,0.15,0.57,8.8
sonic_mega_collection,misc,gc,2002,1.47,0.48,2.05,8.8
blood_omen_2,action,ps2,2002,0.19,0.15,0.39,8.8
kingdom_hearts,role_playing,ps2,2002,3.64,1.2,6.4,8.8
mortal_kombat:deadly_alliance,fighting,ps2,2002,1.81,0.52,2.49,8.8
nascar:dirt_to_daytona,racing,ps2,2002,0.28,0.22,0.58,8.8
rpg_maker_ii,role_playing,ps2,2002,0.06,0.05,0.13,8.8
seek_and_destroy,racing,ps2,2002,0.52,0.4,1.06,8.8
timesplitters_2,shooter,ps2,2002,0.34,0.27,0.7,8.8
tribes:aerial_assault,shooter,ps2,2002,0.11,0.09,0.23,8.8
ty_the_tasmanian_tiger,platform,ps2,2002,0.57,0.45,1.17,8.8
nba_live_2003,sports,x,2002,0.31,0.04,0.36,8.8
world_series_baseball,sports,x,2002,0.17,0.05,0.23,8.8
dead_to_rights,shooter,gc,2002,0.11,0.03,0.14,8.7
eternal_darkness:sanitys_requiem,adventure,gc,2002,0.34,0.09,0.44,8.7
mortal_kombat:deadly_alliance,fighting,gc,2002,0.31,0.08,0.41,8.7
the_lord_of_the_rings:the_two_towers,action,gc,2002,0.41,0.11,0.53,8.7
.hack//outbreak_part_3,role_playing,ps2,2002,0.14,0.11,0.46,8.7
aggressive_inline,sports,ps2,2002,0.17,0.13,0.35,8.7
grand_theft_auto:vice_city,action,ps2,2002,8.41,5.49,16.15,8.7
guilty_gear_x2,fighting,ps2,2002,0.09,0.07,0.35,8.7
nascar_thunder_2003,racing,ps2,2002,0.6,0.46,1.22,8.7
taz_wanted,platform,ps2,2002,0.08,0.06,0.16,8.7
xenosaga_episode_i:der_wille_zur_macht,role_playing,ps2,2002,0.63,0.49,1.74,8.7
x_men:next_dimension,fighting,ps2,2002,0.23,0.18,0.47,8.7
antz_extreme_racing,racing,x,2002,0.01,0,0.02,8.7
test_drive,racing,x,2002,0.35,0.05,0.42,8.7
the_elder_scrolls_iii:morrowind,role_playing,x,2002,2.09,0.63,2.86,8.7
super_monkey_ball_jr.,puzzle,gba,2002,0.51,0.19,0.72,8.6
nba_street,sports,gc,2002,0.33,0.09,0.42,8.6
super_mario_sunshine,platform,gc,2002,4.01,1.26,6.31,8.6
battlefield_1942,shooter,pc,2002,0.01,0.01,0.03,8.6
rollercoaster_tycoon_2,strategy,pc,2002,1.19,0.05,1.25,8.6
conflict:desert_storm,shooter,ps2,2002,0.98,0.53,1.57,8.6
